"activity_log_id","user_id","element_id","entity_id","action_id","logged_at"
1,1,2,1,1000000,2026-01-01 10:31:04.217
2,2,3,1,1000004,2026-01-01 14:37:47.860
3,3,6,1,1000005,2026-01-01 17:44:36.455
4,1,1,1,1000000,2026-01-02 10:14:36.855
5,1,2,1,1000000,2026-01-02 10:15:31.904
6,1,2,1,1000004,2026-01-02 10:34:10.221
7,1,1,1,1000005,2026-01-02 10:45:38.782
8,1,1,1,1000004,2026-01-02 10:50:27.144
9,1,2,1,1000005,2026-01-02 11:00:25.523
10,1,1,1,1000005,2026-01-02 11:17:42.260
11,1,2,1,1000004,2026-01-02 11:35:17.837
12,1,1,1,1000004,2026-01-02 11:38:35.540
13,2,3,1,1000000,2026-01-02 14:25:25.277
14,3,5,1,1000004,2026-01-02 17:25:28.557
15,1,2,1,1000004,2026-01-05 11:31:36.215
16,2,3,1,1000004,2026-01-05 13:59:27.180
17,2,3,1,1000000,2026-01-05 14:01:32.309
18,2,3,1,1000005,2026-01-05 14:06:37.240
19,2,3,1,1000002,2026-01-05 14:37:16.392
20,2,3,1,1000004,2026-01-05 14:40:48.783
21,2,3,1,1000004,2026-01-05 14:41:21.033
22,2,3,1,1000005,2026-01-05 14:42:12.585
23,2,3,1,1000005,2026-01-05 14:45:30.502
24,2,3,1,1000004,2026-01-05 14:45:30.613
25,2,3,1,1000003,2026-01-05 14:50:48.057
26,3,5,1,1000005,2026-01-05 16:33:39.668
27,3,4,1,1000005,2026-01-05 16:54:27.998
28,3,4,1,1000004,2026-01-05 16:56:52.764
29,3,4,1,1000005,2026-01-05 17:05:58.224
30,3,5,1,1000004,2026-01-05 17:23:00.850
31,1,2,1,1000002,2026-01-06 10:15:45.588
32,2,3,1,1000005,2026-01-06 14:33:42.858
33,3,5,1,1000004,2026-01-06 17:43:38.653
34,1,1,1,1000002,2026-01-07 11:40:30.066
35,2,3,1,1000005,2026-01-07 14:19:40.940
36,2,3,1,1000002,2026-01-07 14:19:58.581
37,2,3,1,1000005,2026-01-07 14:20:14.545
38,2,3,1,1000004,2026-01-07 14:20:49.156
39,2,3,1,1000005,2026-01-07 14:23:51.449
40,2,3,1,1000005,2026-01-07 14:25:45.377
41,2,3,1,1000005,2026-01-07 14:26:27.697
42,2,3,1,1000002,2026-01-07 14:26:30.722
43,2,3,1,1000004,2026-01-07 14:31:54.473
44,2,3,1,1000005,2026-01-07 14:36:09.138
45,3,5,1,1000005,2026-01-07 17:18:44.141
46,1,1,1,1000004,2026-01-08 10:56:06.739
47,2,3,1,1000000,2026-01-08 14:29:52.798
48,3,4,1,1000000,2026-01-08 16:18:39.911
49,3,5,1,1000005,2026-01-08 16:48:34.499
50,1,1,1,1000004,2026-01-09 11:32:12.823
51,2,3,1,1000002,2026-01-09 14:32:10.272
52,3,5,1,1000000,2026-01-09 17:48:01.371
53,1,1,1,1000004,2026-01-12 11:29:09.185
54,2,3,1,1000004,2026-01-12 14:21:54.892
55,3,1,1,1000005,2026-01-12 17:07:19.267
56,1,1,1,1000004,2026-01-13 10:07:24.216
57,1,2,1,1000004,2026-01-13 10:18:53.474
58,1,1,1,1000000,2026-01-13 10:59:12.478
59,1,1,1,1000000,2026-01-13 11:13:46.214
60,1,2,1,1000004,2026-01-13 11:20:08.077
61,1,1,1,1000000,2026-01-13 11:36:59.760
62,2,3,1,1000005,2026-01-13 13:47:20.200
63,3,4,1,1000005,2026-01-13 16:44:07.007
64,3,4,1,1000004,2026-01-13 16:49:26.420
65,3,5,1,1000004,2026-01-13 16:56:24.732
66,3,6,1,1000000,2026-01-13 17:20:10.967
67,3,1,1,1000005,2026-01-13 17:32:05.893
68,3,5,1,1000005,2026-01-13 17:42:58.509
69,1,2,1,1000000,2026-01-14 10:58:28.430
70,2,3,1,1000004,2026-01-14 14:06:37.364
71,3,5,1,1000005,2026-01-14 16:41:51.195
72,1,1,1,1000005,2026-01-15 11:13:28.281
73,1,2,1,1000004,2026-01-15 11:17:22.104
74,1,2,1,1000005,2026-01-15 11:18:00.317
75,1,1,1,1000002,2026-01-15 11:24:50.724
76,1,1,1,1000005,2026-01-15 11:25:48.481
77,1,1,1,1000005,2026-01-15 11:26:14.732
78,1,2,1,1000005,2026-01-15 11:37:32.594
79,1,1,1,1000004,2026-01-15 11:37:43.259
80,1,2,1,1000002,2026-01-15 11:39:54.764
81,1,2,1,1000004,2026-01-15 11:43:17.760
82,2,3,1,1000004,2026-01-15 14:34:20.593
83,3,4,1,1000000,2026-01-15 17:00:34.433
84,1,2,1,1000005,2026-01-16 10:20:09.356
85,2,3,1,1000002,2026-01-16 14:25:03.040
86,3,5,1,1000005,2026-01-16 17:31:49.913
87,1,2,1,1000000,2026-01-19 10:53:21.581
88,2,3,1,1000005,2026-01-19 12:49:41.954
89,3,6,1,1000005,2026-01-19 16:38:29.720
90,1,1,1,1000000,2026-01-20 10:45:35.290
91,2,3,1,1000005,2026-01-20 13:58:54.221
92,3,6,1,1000004,2026-01-20 15:46:44.786
93,1,1,1,1000005,2026-01-21 11:17:52.653
94,2,3,1,1000005,2026-01-21 14:43:05.869
95,3,5,1,1000002,2026-01-21 17:43:11.934
96,1,2,1,1000004,2026-01-22 11:27:10.940
97,1,2,1,1000005,2026-01-22 11:28:40.557
98,1,1,1,1000004,2026-01-22 11:31:51.996
99,1,2,1,1000004,2026-01-22 11:46:32.463
100,2,3,1,1000004,2026-01-22 13:56:42.864
101,3,4,1,1000000,2026-01-22 17:33:28.835
102,1,2,1,1000002,2026-01-23 10:10:57.299
103,1,2,1,1000000,2026-01-23 10:14:59.080
104,1,1,1,1000004,2026-01-23 10:18:39.564
105,1,1,1,1000002,2026-01-23 11:29:22.832
106,1,2,1,1000004,2026-01-23 11:43:05.716
107,2,3,1,1000002,2026-01-23 14:02:13.820
108,3,5,1,1000004,2026-01-23 17:37:37.355
109,1,2,1,1000004,2026-01-26 11:00:22.607
110,1,2,1,1000004,2026-01-26 11:17:13.068
111,1,1,1,1000004,2026-01-26 11:24:49.456
112,1,2,1,1000005,2026-01-26 11:52:31.559
113,2,3,1,1000005,2026-01-26 13:42:32.946
114,3,1,1,1000005,2026-01-26 17:00:11.441
115,1,1,1,1000004,2026-01-27 11:02:32.391
116,2,3,1,1000005,2026-01-27 13:05:00.190
117,2,3,1,1000002,2026-01-27 13:11:41.619
118,2,3,1,1000004,2026-01-27 13:38:45.705
119,2,3,1,1000000,2026-01-27 13:54:21.860
120,2,3,1,1000005,2026-01-27 14:11:33.766
121,2,3,1,1000005,2026-01-27 14:15:56.148
122,2,3,1,1000005,2026-01-27 14:21:07.324
123,2,3,1,1000005,2026-01-27 14:28:49.933
124,3,4,1,1000000,2026-01-27 17:23:36.392
125,1,1,1,1000000,2026-01-28 11:22:40.442
126,2,3,1,1000004,2026-01-28 14:20:40.845
127,3,6,1,1000005,2026-01-28 16:52:00.700
128,3,1,1,1000004,2026-01-28 17:02:11.443
129,3,6,1,1000000,2026-01-28 17:03:35.752
130,3,6,1,1000002,2026-01-28 17:18:40.311
131,3,6,1,1000005,2026-01-28 17:19:30.413
132,1,2,1,1000004,2026-01-29 11:40:11.930
133,2,3,1,1000004,2026-01-29 13:44:55.063
134,3,1,1,1000005,2026-01-29 17:26:37.044
135,1,1,1,1000005,2026-01-30 10:12:36.795
136,2,3,1,1000004,2026-01-30 13:51:25.665
137,3,5,1,1000005,2026-01-30 15:41:27.490
138,1,1,1,1000005,2026-02-02 10:12:07.694
139,1,1,1,1000002,2026-02-02 10:15:31.448
140,1,2,1,1000004,2026-02-02 10:20:34.969
141,1,1,1,1000004,2026-02-02 10:41:44.771
142,1,2,1,1000000,2026-02-02 10:51:26.219
143,1,1,1,1000002,2026-02-02 10:53:31.010
144,1,2,1,1000005,2026-02-02 10:56:27.462
145,1,1,1,1000005,2026-02-02 11:15:40.238
146,1,1,1,1000004,2026-02-02 11:44:27.863
147,2,3,1,1000002,2026-02-02 12:37:00.265
148,2,3,1,1000005,2026-02-02 12:39:26.398
149,2,3,1,1000004,2026-02-02 12:45:49.269
150,2,3,1,1000004,2026-02-02 13:06:08.809
151,2,3,1,1000005,2026-02-02 13:11:30.809
152,2,3,1,1000004,2026-02-02 13:16:29.690
153,2,3,1,1000000,2026-02-02 13:30:36.658
154,2,3,1,1000004,2026-02-02 13:34:18.664
155,2,3,1,1000005,2026-02-02 13:35:59.436
156,2,3,1,1000002,2026-02-02 14:13:53.085
157,3,6,1,1000000,2026-02-02 16:11:57.552
158,1,1,1,1000002,2026-02-03 10:49:09.217
159,2,3,1,1000005,2026-02-03 13:29:31.510
160,3,6,1,1000002,2026-02-03 17:25:44.930
161,1,1,1,1000005,2026-02-04 10:18:21.679
162,1,2,1,1000004,2026-02-04 10:31:05.454
163,1,2,1,1000000,2026-02-04 10:54:39.908
164,1,2,1,1000004,2026-02-04 10:56:37.662
165,1,2,1,1000004,2026-02-04 11:34:57.588
166,2,3,1,1000000,2026-02-04 14:26:06.377
167,3,4,1,1000005,2026-02-04 17:31:02.519
168,1,1,1,1000004,2026-02-05 11:28:16.081
169,2,3,1,1000004,2026-02-05 14:31:32.862
170,2,3,1,1000004,2026-02-05 14:33:13.753
171,2,3,1,1000002,2026-02-05 14:33:59.950
172,2,3,1,1000000,2026-02-05 14:38:03.000
173,2,3,1,1000000,2026-02-05 14:38:34.751
174,2,3,1,1000005,2026-02-05 14:39:46.591
175,2,3,1,1000005,2026-02-05 14:39:54.312
176,3,5,1,1000004,2026-02-05 17:17:53.391
177,1,1,1,1000005,2026-02-06 09:45:05.461
178,1,1,1,1000004,2026-02-06 09:50:16.871
179,1,2,1,1000004,2026-02-06 10:12:39.510
180,1,1,1,1000002,2026-02-06 10:39:43.483
181,1,1,1,1000004,2026-02-06 10:41:28.008
182,1,1,1,1000005,2026-02-06 11:12:09.572
183,2,3,1,1000005,2026-02-06 13:09:29.717
184,2,3,1,1000005,2026-02-06 13:11:33.850
185,2,3,1,1000004,2026-02-06 13:48:22.795
186,2,3,1,1000005,2026-02-06 13:59:10.509
187,2,3,1,1000004,2026-02-06 14:05:02.535
188,2,3,1,1000005,2026-02-06 14:05:49.102
189,2,3,1,1000005,2026-02-06 14:14:17.792
190,2,3,1,1000005,2026-02-06 14:33:25.229
191,3,4,1,1000000,2026-02-06 17:02:55.178
192,1,2,1,1000002,2026-02-09 11:17:30.355
193,2,3,1,1000005,2026-02-09 14:44:27.590
194,3,1,1,1000005,2026-02-09 17:09:02.460
195,1,1,1,1000000,2026-02-10 11:36:45.290
196,2,3,1,1000004,2026-02-10 13:20:48.478
197,2,3,1,1000004,2026-02-10 13:48:07.798
198,2,3,1,1000000,2026-02-10 14:06:25.323
199,3,5,1,1000000,2026-02-10 17:40:09.070
200,1,2,1,1000000,2026-02-11 11:37:40.514
201,2,3,1,1000000,2026-02-11 12:40:02.787
202,3,1,1,1000000,2026-02-11 17:33:39.888
203,1,1,1,1000004,2026-02-12 11:49:45.017
204,2,3,1,1000004,2026-02-12 14:09:40.160
205,3,4,1,1000004,2026-02-12 17:15:59.146
206,1,1,1,1000002,2026-02-13 10:57:45.394
207,2,3,1,1000004,2026-02-13 14:00:59.962
208,2,3,1,1000000,2026-02-13 14:04:37.119
209,2,3,1,1000004,2026-02-13 14:13:58.338
210,2,3,1,1000000,2026-02-13 14:26:02.345
211,2,3,1,1000004,2026-02-13 14:26:47.149
